Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2023-02-08T20:03:48+0100,Trade,BUY_TO_OPEN,SLV   230324C00019500,Equity Option,Bought 1 SLV 03/24/23 Call 19.50 @ 1.50,-150.00,1,-150.00,-1.00,-0.13,100,SLV,SLV,3/24/23,19.5,CALL,254311573
2023-02-07T20:41:29+0100,Trade,SELL_TO_OPEN,AMD   230324C00087000,Equity Option,Sold 1 AMD 03/24/23 Call 87.00 @ 4.55,455.00,1,455.00,-1.00,-0.152,100,AMD,AMD,3/24/23,87.0,CALL,254107270
2023-02-07T20:41:29+0100,Trade,BUY_TO_OPEN,AMD   230324C00083000,Equity Option,Bought 1 AMD 03/24/23 Call 83.00 @ 6.55,-655.00,1,-655.00,-1.00,-0.13,100,AMD,AMD,3/24/23,83.0,CALL,254107270
2023-02-07T17:46:13+0100,Trade,BUY_TO_CLOSE,XLF   230331P00035000,Equity Option,Bought 1 XLF 03/31/23 Put 35.00 @ 0.44,-44.00,1,-44.00,0.00,-0.13,100,XLF,XLF,3/31/23,35.0,PUT,254020863
2023-02-07T17:46:13+0100,Trade,SELL_TO_CLOSE,XLF   230331P00037000,Equity Option,Sold 1 XLF 03/31/23 Put 37.00 @ 1.07,107.00,1,107.00,0.00,-0.142,100,XLF,XLF,3/31/23,37.0,PUT,254020863
2023-02-07T17:45:57+0100,Trade,BUY_TO_CLOSE,XLF   230317C00037000,Equity Option,Bought 1 XLF 03/17/23 Call 37.00 @ 0.77,-77.00,1,-77.00,0.00,-0.13,100,XLF,XLF,3/17/23,37.0,CALL,254020779
2023-02-07T17:45:57+0100,Trade,SELL_TO_CLOSE,XLF   230317C00035000,Equity Option,Sold 1 XLF 03/17/23 Call 35.00 @ 2.19,219.00,1,219.00,0.00,-0.142,100,XLF,XLF,3/17/23,35.0,CALL,254020779
2023-02-04T15:33:03+0100,Money Movement,,,,Regulatory fee adjustment,-0.28,0,,--,0.00,,,,,,,
2023-02-03T21:29:56+0100,Trade,SELL_TO_CLOSE,RIOT  230224P00003500,Equity Option,Sold 1 RIOT 02/24/23 Put 3.50 @ 0.02,2.00,1,2.00,0.00,-0.142,100,RIOT,RIOT,2/24/23,3.5,PUT,253706216
2023-02-03T21:29:56+0100,Trade,BUY_TO_CLOSE,RIOT  230224P00005500,Equity Option,Bought 1 RIOT 02/24/23 Put 5.50 @ 0.20,-20.00,1,-20.00,0.00,-0.13,100,RIOT,RIOT,2/24/23,5.5,PUT,253706216
2023-02-03T20:31:13+0100,Trade,SELL_TO_OPEN,TLT   230317C00108000,Equity Option,Sold 1 TLT 03/17/23 Call 108.00 @ 1.99,199.00,1,199.00,-1.00,-0.142,100,TLT,TLT,3/17/23,108.0,CALL,253679254
